iter	Logloss
122	0.402902607
123	0.4022175427
124	0.4016872357
125	0.4013554766
126	0.4006818975
127	0.4003890619
128	0.3998200153
129	0.398948953
130	0.3987434697
131	0.3979864944
132	0.3977887464
133	0.3969871739
134	0.3965834179
135	0.3960559449
136	0.3952836333
137	0.394855325
138	0.3945605084
139	0.3939598509
140	0.3933944452
141	0.3928578932
142	0.3924065362
143	0.3916147709
144	0.3911968304
145	0.3907247039
146	0.3896976749
147	0.3891393459
148	0.3883362758
149	0.3877899011
150	0.3873799054
151	0.3868212684
152	0.3861708441
153	0.3856853221
154	0.3849759641
155	0.3846854774
156	0.3841743489
157	0.3836525437
158	0.3829530939
159	0.3826649865
160	0.3822891278
161	0.3817229958
162	0.3810013541
163	0.3804492591
164	0.3799927336
165	0.3795013404
166	0.3790742407
167	0.3785283923
168	0.3782378413
169	0.3777933592
170	0.3774772086
171	0.376966051
172	0.3767032691
173	0.376229135
174	0.375458694
175	0.374916133
176	0.3744879448
177	0.3741825688
178	0.3738033681
179	0.3736341572
180	0.3732957994
181	0.3729100243
182	0.372487851
183	0.3721779944
184	0.3718856032
185	0.3714554815
186	0.3712141901
187	0.3708849638
188	0.3706440254
189	0.3702771441
190	0.3699745517
191	0.3696146691
192	0.3692622148
193	0.3689686024
194	0.368764692
195	0.3682915866
196	0.368122601
197	0.367773533
198	0.3673140643
199	0.3671668517
200	0.3668175422
201	0.3664967406
202	0.3660536341
203	0.3659132853
204	0.3656364468
205	0.3655802617
206	0.3651101985
207	0.3649000852
208	0.3645905009
209	0.3642408012
210	0.3638911353
211	0.3638390814
212	0.3633963205
213	0.3632281905
214	0.3629771997
215	0.3625736827
216	0.3624128051
217	0.3621043355
218	0.361865501
219	0.3616036788
220	0.3614265268
221	0.3610982633
222	0.3607933626
223	0.3604511145
224	0.3601035009
225	0.3598851516
226	0.3595818984
227	0.3593280028
228	0.3589622954
229	0.3588708721
230	0.3583817068
231	0.3581221988
232	0.3578041572
233	0.3576345985
234	0.3572492245
235	0.3570166202
236	0.3568830663
237	0.356727654
238	0.3564404877
239	0.3563140343
240	0.3560384566
241	0.3557684419
242	0.355570073
243	0.3552842537
244	0.3551292802
245	0.3549700078
246	0.354701752
247	0.3544182476
248	0.3541004244
249	0.3540377483
250	0.3536994614
251	0.3534420404
252	0.3531500089
253	0.3527670664
254	0.3524459876
255	0.3522094623
256	0.3519838303
257	0.3516492798
258	0.3513012692
259	0.3509974592
260	0.3506138003
261	0.3505451802
262	0.3503198731
263	0.3501524563
264	0.3498625625
265	0.3494665087
266	0.3492597605
267	0.3489808625
268	0.3488426393
269	0.3486347163
270	0.3484469122
271	0.3481758316
272	0.3479576851
273	0.3477214593
274	0.3475171661
275	0.3473107145
276	0.3470281934
277	0.346712595
278	0.346419188
279	0.3462921868
280	0.3461133157
281	0.3459906602
282	0.3458263483
283	0.3457947569
284	0.3456708961
285	0.3455777488
286	0.3453925397
287	0.3450271027
288	0.3447500094
289	0.3445685067
290	0.3445149529
291	0.3440521635
292	0.3438918152
293	0.3434665644
294	0.3432380694
295	0.3429109215
296	0.3427145058
297	0.3425385872
298	0.3422367539
299	0.341942177
300	0.3418535723
301	0.3417309662
302	0.3415228184
303	0.341307392
304	0.3410895255
305	0.3409474828
306	0.340830048
307	0.3406208742
308	0.3405192119
309	0.3403335382
310	0.3402351355
311	0.3400446306
312	0.3399188243
313	0.3397495284
314	0.3397149075
315	0.3395308043
316	0.3393550681
317	0.3391110646
318	0.3387937643
319	0.3385255387
320	0.3384292724
321	0.3381784429
322	0.3378791006
323	0.3376820985
324	0.3373566172
325	0.3371094126
326	0.3368566818
327	0.3366708442
328	0.336485653
329	0.3363648983
330	0.3360461303
331	0.335891089
332	0.3356696666
333	0.3355337343
334	0.3353227958
335	0.3351486604
336	0.3350892214
337	0.3349299988
338	0.3347742322
339	0.3345448055
340	0.3342408981
341	0.3341494419
342	0.3340130275
343	0.3338958858
344	0.3336035295
345	0.3334425309
346	0.3332879657
347	0.333144148
348	0.3330153002
349	0.3328535999
350	0.3327115765
351	0.3324483867
352	0.3323453212
353	0.3321322965
354	0.331988056
355	0.3317206283
356	0.331448109
357	0.3312411365
358	0.3310809278
359	0.3308506685
360	0.3306185594
361	0.3305034209
362	0.3304004934
363	0.3303175585
364	0.3300704926
365	0.3299682632
366	0.3297520875
367	0.3295491415
368	0.329348224
369	0.3292650443
370	0.3290327806
371	0.3287923499
372	0.3286072165
373	0.328456846
374	0.3282231123
375	0.3280833529
376	0.3279465722
377	0.3277154113
378	0.3276533661
379	0.3275722766
380	0.3274591375
381	0.3272835833
382	0.3272765338
383	0.3272252382
384	0.3270508133
385	0.3269973939
386	0.3269766551
387	0.3267951354
388	0.3266776086
389	0.3264976569
390	0.3264468388
391	0.326258862
392	0.3261037205
393	0.3260835116
394	0.3259618467
395	0.3258351899
396	0.325562077
397	0.3255175318
398	0.3253050416
399	0.3249819361
400	0.3249081619
401	0.3247774476
402	0.3245361334
403	0.3244086187
404	0.3243421911
405	0.3242032924
406	0.3240942192
407	0.3239563344
408	0.3238545247
409	0.3236851756
410	0.3236421804
411	0.3235151793
412	0.3234118713
413	0.3232872298
414	0.3231009557
415	0.3228492281
416	0.3225953168
417	0.3223576368
418	0.3221877654
419	0.3220155277
420	0.3217512489
421	0.3216093789
422	0.321505027
423	0.3214710325
424	0.3213641679
425	0.3213198037
426	0.3211930724
427	0.3211074461
428	0.3209320115
429	0.3208268315
430	0.320679374
431	0.3205513308
432	0.320392909
433	0.3203756951
434	0.3202814356
435	0.3201240553
436	0.3199893273
437	0.3198283875
438	0.3197503702
439	0.3195889902
440	0.3195310807
441	0.3195021346
442	0.3194279492
443	0.3193531713
444	0.3190786235
445	0.3188660178
446	0.3187463345
447	0.3186719919
448	0.3185366914
449	0.3184584392
450	0.3183107777
451	0.3181633941
452	0.3180940346
453	0.317945335
454	0.3178017809
455	0.3176786213
456	0.3176635963
457	0.3174642905
458	0.3173894102
459	0.3172679144
460	0.3171420857
461	0.3170375039
462	0.3169549621
463	0.3168210042
464	0.3165808292
465	0.3164779789
466	0.3163875936
467	0.3163646635
468	0.3162014104
469	0.3160262339
470	0.3158894599
471	0.3156313605
472	0.3155558586
473	0.3154357336
474	0.315369026
475	0.3152104368
476	0.3150749302
477	0.3149752131
478	0.3148837323
479	0.3148430951
480	0.3147396635
481	0.3145108724
482	0.3143502645
483	0.3141449424
484	0.3138972123
485	0.3138303467
486	0.3137862475
487	0.3135465931
488	0.3135289921
489	0.3135175272
490	0.3133768394
491	0.313180958
492	0.3130858316
493	0.312980734
494	0.3126868537
495	0.3126455124
496	0.3123821476
497	0.3122413564
498	0.3122243419
499	0.3121066996
500	0.3118323998
501	0.3118311617
502	0.3118250515
503	0.3117095612
504	0.3115812598
505	0.3114959494
506	0.3114415887
507	0.3112781195
508	0.311141876
509	0.3109100468
510	0.3108085574
511	0.3106928208
512	0.3105531194
513	0.3104332453
514	0.3103068646
515	0.3101158529
516	0.3100830057
517	0.309872055
518	0.3098609633
519	0.3095549246
520	0.3094881529
521	0.3094548473
522	0.3093036548
523	0.3092334162
524	0.3090463265
525	0.3088429661
526	0.3087570519
527	0.3086312602
528	0.30846813
529	0.3083013958
530	0.3082249544
531	0.308159836
532	0.3081056538
533	0.3079542769
534	0.3079207678
535	0.3078790029
536	0.307767831
537	0.3075927921
538	0.307425483
539	0.3073759179
540	0.3072836078
541	0.3072604553
542	0.3071699422
543	0.3071306936
544	0.3070415273
545	0.3069624774
546	0.3068569973
547	0.306672543
548	0.3065317132
549	0.3064068258
550	0.3063111131
551	0.3062196674
552	0.3061167587
553	0.3060548007
554	0.3059854914
555	0.305869551
556	0.305792233
557	0.3057299789
558	0.3055834086
559	0.3054478118
560	0.3052392353
561	0.3051335592
562	0.3049889424
563	0.3048889034
564	0.3047864473
565	0.3047233578
566	0.304565903
567	0.3044977276
568	0.304438143
569	0.3044056224
570	0.3042689673
571	0.3040121613
572	0.3039700997
573	0.3038638038
574	0.3037603276
575	0.3036687755
576	0.3035585361
577	0.3034977527
578	0.3034122157
579	0.3033241207
580	0.3031799205
581	0.3029413016
582	0.3028659877
583	0.3027054174
584	0.302585748
585	0.3024873001
586	0.3024177227
587	0.3023014007
588	0.302225692
589	0.302072235
590	0.3019028736
591	0.301822397
592	0.301717323
593	0.3016131248
594	0.3015027706
595	0.3013770762
596	0.3013208186
597	0.3011292284
598	0.301075977
599	0.3009624518
600	0.300928488
601	0.3007792621
602	0.3006498635
603	0.3004380794
604	0.3003423635
605	0.3002181565
606	0.3000962406
607	0.2999874105
608	0.2998322017
609	0.2997844691
610	0.2997343893
611	0.2995926152
612	0.2995774542
613	0.2994811976
614	0.2992562119
615	0.2990782208
616	0.298953277
617	0.2987949856
618	0.2986612982
619	0.2986128985
620	0.2985069397
621	0.2983665648
622	0.2983563207
623	0.2982441375
624	0.2981295964
625	0.298089152
626	0.2979926243
627	0.297932657
628	0.2977654139
629	0.2975063051
630	0.2974045441
631	0.2972914583
632	0.2972433091
633	0.2970224297
634	0.2970128835
635	0.296925046
636	0.2965939025
637	0.2964734088
638	0.2964040336
639	0.2963629443
640	0.2963151368
641	0.2962206294
642	0.2960573858
643	0.2959530605
644	0.2959107972
645	0.2958934424
646	0.2958605006
647	0.2957914536
648	0.2955251152
649	0.2954747708
650	0.295245931
651	0.2950291758
652	0.2949733914
653	0.2947052756
654	0.2946302163
655	0.2945001467
656	0.2943822171
657	0.2943092421
658	0.294199466
659	0.2941416749
660	0.2939959242
661	0.29377972
662	0.2936037037
663	0.293416947
664	0.2932868257
665	0.2932157468
666	0.2930845724
667	0.2930782288
668	0.2929150545
669	0.2929056349
670	0.2928402929
671	0.2927847728
672	0.2927320677
673	0.2926733737
674	0.2925699157
675	0.2925697488
676	0.2922568892
677	0.2921530297
678	0.2921069791
679	0.291999791
680	0.2919053508
681	0.2917662861
682	0.2916831775
683	0.2915850246
684	0.2914623894
685	0.2913597784
686	0.2911358917
687	0.2910179954
688	0.2909363135
689	0.2908417121
690	0.2907835024
691	0.2907350019
692	0.2907065776
693	0.2905781591
694	0.2904094912
695	0.2903999484
696	0.2903146967
697	0.2902205724
698	0.2900154514
699	0.2899423559
700	0.2897130442
701	0.2896561735
702	0.2894563143
703	0.2893535956
704	0.2892664922
705	0.2892048349
706	0.2890343607
707	0.2890143092
708	0.2889515891
709	0.2887841609
710	0.2886912967
711	0.2885475745
712	0.2884246975
713	0.2882404906
714	0.2881084343
715	0.2880014857
716	0.2879499421
717	0.2877751412
718	0.2876204914
719	0.2874508793
720	0.2873648396
721	0.287356411
722	0.2871866358
723	0.2871556045
724	0.2870856094
725	0.2868194222
726	0.2867386787
727	0.2865824828
728	0.2864844277
729	0.2864153087
730	0.2863513158
731	0.2862392438
732	0.2861662448
733	0.2861473878
734	0.2858597202
735	0.285773333
736	0.2857311635
737	0.2856304687
738	0.2854419932
739	0.2853708654
740	0.2853035221
741	0.2851373385
742	0.2850425082
743	0.2849224489
744	0.2847722881
745	0.2845260557
746	0.2844148684
747	0.2842869678
748	0.2842323505
749	0.2841124206
750	0.284025267
751	0.2839739402
752	0.283964977
753	0.2837696318
754	0.2837247412
755	0.2836710036
756	0.2835684982
757	0.283449339
758	0.2833445918
759	0.2832119339
760	0.2830577621
761	0.2828342805
762	0.2827880195
763	0.2826925857
764	0.2825454383
765	0.2823812318
766	0.2822365583
767	0.2821184091
768	0.2819615708
769	0.2818388235
770	0.2817038663
771	0.2815869419
772	0.2814999006
773	0.2814342725
774	0.2813241863
775	0.281228323
776	0.2811757336
777	0.2810311193
778	0.2808692831
779	0.2808334285
780	0.2806330813
781	0.2805059821
782	0.2803607171
783	0.280243722
784	0.2801655417
785	0.2800487844
786	0.2800311977
787	0.2797910588
788	0.2795701053
789	0.279558752
790	0.2794560265
791	0.2791938429
792	0.2791237485
793	0.2790096132
794	0.278761926
795	0.2786024661
796	0.2785283441
797	0.2784482749
798	0.2784023124
799	0.2782878306
800	0.2782235209
801	0.2780779175
802	0.2780501949
803	0.2779231164
804	0.2778576029
805	0.2776213963
806	0.2774396554
807	0.2772986818
808	0.2772381523
809	0.277086585
810	0.2768633735
811	0.2767987496
812	0.2767076607
813	0.2766291344
814	0.2765264658
815	0.2761375105
816	0.2760835058
817	0.2760316449
818	0.2759385596
819	0.2756801935
820	0.2756100919
821	0.2755650707
822	0.2754698197
823	0.2753542047
824	0.2752507672
825	0.2751188937
826	0.2749692741
827	0.2748962728
828	0.2748070854
829	0.2747830606
830	0.2747124157
831	0.2746386422
832	0.2744810391
833	0.2743926442
834	0.2742846954
835	0.2742506157
836	0.2741965517
837	0.2740716827
838	0.2740063003
839	0.2739503076
840	0.2738226357
841	0.2737455721
842	0.2736933298
843	0.2736013855
844	0.2735491945
845	0.2734337294
846	0.273377914
847	0.2731351148
848	0.2730186568
849	0.2729448187
850	0.2727774694
851	0.2727143569
852	0.2726522373
853	0.272535018
854	0.2724580639
855	0.2723502954
856	0.272274777
857	0.2722345382
858	0.272181877
859	0.2721113659
860	0.2720347354
861	0.271912461
862	0.2717976568
863	0.271699533
864	0.2716528721
865	0.2715178112
866	0.2713438381
867	0.2710650965
868	0.2708164051
869	0.2705843603
870	0.2705510885
871	0.2704361626
872	0.2702849808
873	0.2701508027
874	0.2700010822
875	0.269826918
876	0.2696981995
877	0.2695313506
878	0.269457803
879	0.2692777971
880	0.269247397
881	0.2692209808
882	0.269168039
883	0.2689552501
884	0.2688128336
885	0.2686766572
886	0.2686292928
887	0.268559409
888	0.2684795817
889	0.2684488686
890	0.2682922322
891	0.2681084035
892	0.2679492001
893	0.267849714
894	0.2676959223
895	0.2676210315
896	0.2673465369
897	0.2671831958
898	0.2670317854
899	0.2668156339
900	0.266734549
901	0.266543673
902	0.2664298479
903	0.2663234292
904	0.2662685228
905	0.2662248198
906	0.2661414219
907	0.2661007527
908	0.2660686335
909	0.2660333258
910	0.265975474
911	0.2657793146
912	0.2657143953
913	0.2656805984
914	0.2656470576
915	0.265629277
916	0.2655495369
917	0.2654552606
918	0.2652580411
919	0.2652282979
920	0.2651561661
921	0.2651126316
922	0.2650272707
923	0.2649920422
924	0.2648605636
925	0.2647545221
926	0.2646860228
927	0.2645511397
928	0.2642118073
929	0.2641548186
930	0.2640056221
931	0.2638699203
932	0.2637299215
933	0.2636896004
934	0.2636338414
935	0.2635245029
936	0.2634297914
937	0.2633955762
938	0.2633606373
939	0.263318065
940	0.2631767372
941	0.262984898
942	0.2629259139
943	0.2628578787
944	0.2627933321
945	0.2626332605
946	0.262486379
947	0.2624239785
948	0.2623681725
949	0.2623195517
950	0.2621905852
951	0.262154594
952	0.2620814237
953	0.2619996907
954	0.2617852005
955	0.2617112681
956	0.2616468369
957	0.2615565157
958	0.2612776655
959	0.2611037053
960	0.2610467682
961	0.2609892784
962	0.260902592
963	0.260849849
964	0.2606611291
965	0.2606171407
966	0.2605406535
967	0.2604749757
968	0.2603901685
969	0.2602560476
970	0.2602026067
971	0.2601320809
972	0.2600810517
973	0.2600584079
974	0.2600028446
975	0.2599127587
976	0.2597055699
977	0.2596559784
978	0.2596119164
979	0.2594773591
980	0.2593841956
981	0.2593323378
982	0.2592673873
983	0.2590600892
984	0.2589308283
985	0.2588153482
986	0.2586563036
987	0.2586147693
988	0.2585791824
989	0.2584772846
990	0.2584110673
991	0.2583114985
992	0.2581994674
993	0.2581504515
994	0.2580646608
995	0.2579511082
996	0.2578907423
997	0.2578129721
998	0.2576665934
999	0.257460344
